model,group,name,k,trials,exact_rate,pred_rate,avg_raw_per_candidate,avg_s,median_s,p90_s,p95_s,max_s,max_n_by_p95_safe,max_n_by_p95_safe_capped_2000,projected_score_at_p95_cap,projected_score_at_2000_if_time_safe,n_needed_for_100,n_needed_for_110,raw_per_p95_second
gemma,V52,plain_reply,1,8,1.0,1.0,18.0,0.9183423221111298,0.9234702587127686,0.9295195579528809,0.9301338911056518,0.9307482242584229,9530,2000,180.0,180.0,1112,1223,19.35205261535344
gemma,V52,plain_reply_only,1,8,1.0,1.0,18.0,0.9278789758682251,0.927972674369812,0.9324391126632691,0.9329095005989074,0.9333798885345459,9502,2000,180.0,180.0,1112,1223,19.294476032717423
gemma,V52,only_use_reply,1,8,1.0,1.0,18.0,0.9261096119880676,0.9237205982208252,0.942451786994934,0.9505712151527403,0.9586906433105469,9325,2000,180.0,180.0,1112,1223,18.9359826103168
gemma,C,bare_ok_now,1,8,1.0,1.0,18.0,0.9471189379692078,0.9493411779403687,0.9510505676269532,0.9520839691162108,0.9531173706054688,9311,2000,180.0,180.0,1112,1223,18.90589547128792
gemma,V52,call_once_ok,1,8,1.0,1.0,18.0,0.9408954083919525,0.9447177648544312,0.9515541791915894,0.952355682849884,0.9531571865081787,9308,2000,180.0,180.0,1112,1223,18.900501487150013
gemma,V52,data_first_reply,1,8,1.0,1.0,18.0,0.9287922084331512,0.929395318031311,0.9525283575057983,0.9577817320823669,0.9630351066589355,9255,2000,180.0,180.0,1112,1223,18.793425889283974
gemma,NEW,minimal_ok,1,8,1.0,1.0,18.0,0.9560043811798096,0.9567115306854248,0.9588365077972412,0.9595120906829834,0.9601876735687256,9239,2000,180.0,180.0,1112,1223,18.759534324562342
gemma,NEW,minimal_no_suffix,1,8,1.0,1.0,18.0,1.4456189572811127,1.4484325647354126,1.4616851329803469,1.462886428833008,1.464087724685669,6059,2000,180.0,180.0,1112,1223,12.304441168655304
gemma,C,bare_now,1,8,1.0,1.0,18.0,1.4692221283912659,1.4734222888946533,1.4822657108306885,1.4851354360580444,1.4880051612854004,5969,2000,180.0,180.0,1112,1223,12.120106734357455
gemma,C,inj_close,1,8,1.0,1.0,18.0,1.3092184960842133,1.4696344137191772,1.5156099796295166,1.5169392824172974,1.5182685852050781,5844,2000,180.0,180.0,1112,1223,11.865998994578314
gemma,C,inj_commentary,1,8,1.0,1.0,18.0,1.5039390921592712,1.5005581378936768,1.5369776964187623,1.5579744219779967,1.5789711475372314,5690,2000,180.0,180.0,1112,1223,11.55346310316654
